Part Name,Color,Quantity,Part ID,Color Code
"=Technic Gear 24 Tooth with Single Axle Hole","Dark Grey",1,24505.dat,8
"Brick  2 x  4","Black",6,3001.dat,0
"Brick  2 x  4","White",3,3001.dat,15
"Brick  1 x  6","Black",3,3009.dat,0
"Brick  1 x  6","White",4,3009.dat,15
"Plate  1 x  8","White",1,3460.dat,15
"Technic Brick  1 x  2 with Hole","Red",2,3700.dat,4
"Plate  1 x  4","White",1,3710.dat,15
"Technic Gear Rack  1 x  4","White",2,3743.dat,15
"Tile  1 x  8","Light Grey",2,4162.dat,7
"=Brick  2 x  6","Black",4,44237.dat,0
"=Brick  2 x  6","White",6,44237.dat,15
"Technic Pin with Friction","Black",2,4459.dat,0
"Plate  8 x 16","Dark Grey",1,92438.dat,8
"Plate  2 x  4 with Square Underside Studholes","Green",1,u8200.dat,2
"Electric Servo Motor Brick  5 x  2 x  3","Light Grey",1,geekservo1.dat,7
