Part Name,Color,Quantity,Part ID,Color Code
"geekservo1.dat","Bright Green",2,geekservo1.dat,10
"Technic Wedge Belt Wheel Tyre","Black",2,2815.dat,0
"Brick  2 x  4","Red",1,3001.dat,4
"Brick  2 x  2","Yellow",1,3003.dat,14
"Brick  1 x  2","Yellow",1,3004.dat,14
"Brick  1 x  1","Yellow",2,3005.dat,14
"Brick  1 x  1 with Eye with Pupil Highlight Pattern","White",2,3005pe4.dat,15
"Plate  2 x  4","Green",1,3020.dat,2
"Technic Brick  1 x  2 with Axlehole with Open Sides and Stud Blocker","Dark Grey",3,32064a.dat,8
"Slope Brick 33  3 x  2","Yellow",1,3298.dat,14
"Technic Brick  1 x  2 with Hole","Red",2,3700.dat,4
"Technic Axle  6","Black",1,3706.dat,0
"Technic Plate  2 x  8 with Holes","White",7,3738.dat,15
"=Slope Brick Curved  6 x  1","Red",2,41762.dat,4
"=Slope Brick Curved  6 x  1","Yellow",2,41762.dat,14
"Technic Wedge Belt Wheel - Reinforced","Bright Green",2,4185b.dat,10
"Technic Pin with Friction","Dark Grey",4,4459.dat,8
"Wheel Rim 14 x 18 with Axlehole","Light Grey",2,55982.dat,7
"=Slope Brick 45  2 x  2","Yellow",2,6227.dat,14
"=Slope Brick 45  2 x  2","Red",1,63341.dat,4
"Tyre 14/ 50 x 17 with Centre Band","Black",2,92402.dat,0
