Part Name,Color,Quantity,Part ID,Color Code
"Brick  1 x  1 with Eye with Pupil Highlight Pattern","White",4,3005pe4.dat,15
"Brick  1 x  4 without Centre Studs","Red",2,3066.dat,4
"Brick  1 x  4 without Centre Studs","Yellow",2,3066.dat,14
"Technic Plate  2 x  6 with Holes","White",2,32001.dat,15
"Technic Brick  1 x  2 with Axlehole with Open Sides and Stud Blocker","Dark Grey",1,32064a.dat,8
"Technic Axle  5","Dark Grey",1,32073.dat,8
"~Moved to 3660a","Red",1,3660.dat,4
"~Moved to 3660a","Yellow",1,3660.dat,14
"Technic Axle 10","Dark Grey",1,3737.dat,8
"Technic Wedge Belt Wheel - Reinforced","Bright Green",2,4185b.dat,10
"Brick  8 x 16","Light Grey",1,4204.dat,7
"=Brick  2 x  2 Round Reinforced","Bright Green",2,6116.dat,10
"=Brick  2 x  2","Red",1,6223.dat,4
"=Brick  2 x  2","Yellow",3,6223.dat,14
"=Slope Brick 45  2 x  2","Yellow",1,6227.dat,14
"=Slope Brick 45  2 x  2","Red",1,63341.dat,4
"Electric Servo Motor Brick  5 x  2 x  3","Red",1,geekservo1.dat,4
