Part Name,Color,Quantity,Part ID,Color Code
"Brick  1 x  6","Yellow",3,3009.dat,14
"Brick  1 x  4","Yellow",1,3010.dat,14
"Slope Brick 45  2 x  1 Inverted without Inner Stopper Ring","Red",2,3665a.dat,4
"Technic Brick  1 x  2 with Hole","Red",2,3700.dat,4
"Technic Plate  2 x  8 with Holes","White",3,3738.dat,15
"Technic Brick  1 x  6 with Holes","Red",1,3894.dat,4
"Tile  1 x  8","Light Grey",4,4162.dat,7
"=Slope Brick Curved  6 x  1","Yellow",2,41762.dat,14
"Brick  8 x 16","Light Grey",1,4204.dat,7
"Slope Brick 33  3 x  1 Inverted with Notch and Thick Front","Yellow",2,4287a.dat,14
"=Brick  2 x  2 Round Reinforced","Bright Green",2,6116.dat,10
"=Slope Brick 45  2 x  2","Red",1,6227.dat,4
"=Slope Brick 45  2 x  2","Yellow",1,6227.dat,14
"Electric Servo Motor Brick  5 x  2 x  3","Light Grey",1,geekservo1.dat,7
"Electric Servo Motor Brick  5 x  2 x  3","Red",1,geekservo1.dat,4
